64.536583:0.000537 236.634140:0.004686 387.219513:0.000646 473.268280:0.000779 645.365845:0.000176 688.390259:0.000181 882.000000:0.000052 946.536560:0.000060 1032.585327:0.000015 1097.121948:0.000021 1204.682983:0.000020 1419.804932:0.000015 4711.170898:0.000011 9572.926758:0.000012 9788.048828:0.000012 10067.707031:0.000015 
64.536583:0.002347 236.634140:0.024790 451.756104:0.004521 688.390259:0.000721 795.951233:0.000149 946.536560:0.000177 1032.585327:0.000041 1097.121948:0.000037 1161.658569:0.000021 1204.682983:0.000053 1312.243896:0.000016 1398.292725:0.000021 9551.415039:0.000016 9960.146484:0.000019 10067.707031:0.000023 10196.780273:0.000016 
64.536583:0.005408 236.634140:0.083881 451.756104:0.014581 602.341492:0.000636 688.390259:0.002034 860.487793:0.000224 925.024414:0.000427 1032.585327:0.000146 1204.682983:0.000134 1333.756104:0.000047 1376.780518:0.000034 1441.317017:0.000026 9658.975586:0.000027 9938.633789:0.000026 10046.195312:0.000029 10196.780273:0.000027 
64.536583:0.008669 236.634140:0.194070 365.707306:0.007780 451.756104:0.032427 580.829285:0.000585 623.853638:0.001489 688.390259:0.004579 860.487793:0.000460 925.024414:0.000955 1032.585327:0.000363 1161.658569:0.000244 1226.195068:0.000186 1355.268311:0.000107 1441.317017:0.000069 2473.902344:0.000089 2516.926758:0.000086 
43.024391:0.010413 236.634140:0.341499 387.219513:0.010683 451.756104:0.057780 580.829285:0.000611 688.390259:0.008000 795.951233:0.001132 925.024414:0.001429 1011.073181:0.000620 1075.609741:0.000473 1140.146362:0.000501 1247.707275:0.000244 1355.268311:0.000256 2473.902344:0.000354 2602.975586:0.000138 4582.097656:0.000157 
43.024391:0.011560 86.048782:0.007355 150.585373:0.009422 236.634140:0.492900 451.756104:0.088921 559.317078:0.001580 688.390259:0.011122 795.951233:0.001371 903.512207:0.002531 968.048767:0.001180 1118.634155:0.001115 1183.170776:0.000352 1355.268311:0.000495 2473.902344:0.000727 4539.073242:0.000507 4582.097656:0.000527 
43.024391:0.010842 86.048782:0.005638 129.073166:0.005732 215.121948:0.626593 344.195129:0.012017 451.756104:0.121855 516.292664:0.003069 559.317078:0.002683 602.341492:0.001697 666.878052:0.016890 731.414612:0.002927 882.000000:0.004146 968.048767:0.001644 1118.634155:0.001870 4517.561035:0.001267 4732.683105:0.001375 
43.024391:0.009550 107.560974:0.005554 215.121948:0.756989 344.195129:0.009596 451.756104:0.152513 666.878052:0.023231 882.000000:0.006626 1097.121948:0.002750 2796.585449:0.002913 3205.317139:0.007062 3377.414551:0.004966 3506.487793:0.004818 3657.073242:0.003279 3786.146240:0.004062 4754.195312:0.003583 4818.731934:0.003102 
43.024391:0.007700 215.121948:0.860746 322.682922:0.012671 451.756104:0.184872 666.878052:0.029676 882.000000:0.009371 3183.804932:0.022689 3377.414551:0.017457 3506.487793:0.011635 3657.073242:0.009938 3786.146240:0.009015 4087.317139:0.007079 4410.000000:0.006343 4539.073242:0.006404 4711.170898:0.005808 4775.707520:0.006286 
215.121948:0.925171 344.195129:0.011380 451.756104:0.228885 666.878052:0.037432 882.000000:0.012765 2925.658447:0.014061 3140.780518:0.049235 3355.902344:0.033612 3506.487793:0.019242 3657.073242:0.022892 3764.634033:0.013801 3893.707275:0.012171 4087.317139:0.016194 4410.000000:0.011410 4539.073242:0.012642 4775.707520:0.011075 
215.121948:0.945006 451.756104:0.282962 666.878052:0.047115 2904.146240:0.027431 3119.268311:0.093834 3334.390137:0.058896 3398.926758:0.035411 3506.487793:0.025010 3657.073242:0.033317 3764.634033:0.019362 3893.707275:0.022386 3979.756104:0.020961 4087.317139:0.025136 4194.877930:0.018412 4410.000000:0.019190 4560.585449:0.018029 
215.121948:0.929200 451.756104:0.331417 666.878052:0.055601 2904.146240:0.041003 3119.268311:0.149148 3183.804932:0.053294 3334.390137:0.088953 3398.926758:0.047664 3635.561035:0.040562 3678.585449:0.041541 3915.219482:0.031303 4001.268311:0.032397 4087.317139:0.032773 4151.853516:0.026547 4216.390137:0.027945 4410.000000:0.030633 
215.121948:0.897656 451.756104:0.359700 666.878052:0.060025 2904.146240:0.050925 3119.268311:0.189651 3183.804932:0.049242 3355.902344:0.109281 3635.561035:0.055636 3678.585449:0.051006 3807.658447:0.036179 3936.731689:0.039428 4022.780518:0.041291 4087.317139:0.038369 4151.853516:0.039511 4345.463379:0.037892 4410.000000:0.046030 
215.121948:0.864775 451.756104:0.364388 666.878052:0.059742 2904.146240:0.051882 3140.780518:0.193144 3355.902344:0.144164 3635.561035:0.065409 3700.097656:0.058209 3807.658447:0.069700 3936.731689:0.045347 4022.780518:0.048736 4087.317139:0.040559 4151.853516:0.046625 4280.926758:0.041947 4345.463379:0.051782 4410.000000:0.063638 
215.121948:0.833307 451.756104:0.353855 666.878052:0.057095 2925.658447:0.053361 3140.780518:0.229863 3377.414551:0.169443 3614.048828:0.079134 3700.097656:0.054067 3807.658447:0.100385 3958.243896:0.045705 4044.292725:0.051577 4151.853516:0.047314 4280.926758:0.051428 4345.463379:0.062517 4410.000000:0.072867 4646.634277:0.042130 
215.121948:0.801708 451.756104:0.338842 666.878052:0.053200 2925.658447:0.055906 3162.292725:0.243287 3377.414551:0.181793 3528.000000:0.054114 3614.048828:0.085870 3700.097656:0.042653 3807.658447:0.113117 3958.243896:0.056351 4044.292725:0.064136 4151.853516:0.040179 4280.926758:0.056373 4345.463379:0.060200 4410.000000:0.067715 
236.634140:0.789536 451.756104:0.324255 688.390259:0.055732 2947.170654:0.062342 3162.292725:0.253872 3398.926758:0.172346 3528.000000:0.062456 3614.048828:0.073049 3721.609863:0.043002 3807.658447:0.104435 3850.682861:0.103573 3936.731689:0.060162 4044.292725:0.066739 4280.926758:0.054218 4388.487793:0.050205 4431.512207:0.048807 
236.634140:0.802885 451.756104:0.310838 688.390259:0.058842 2947.170654:0.060513 3183.804932:0.270864 3398.926758:0.157241 3528.000000:0.051228 3635.561035:0.065675 3721.609863:0.048329 3786.146240:0.089745 3872.195068:0.116948 4044.292725:0.060460 4108.829102:0.042836 4194.877930:0.042213 4280.926758:0.049238 4474.536621:0.052027 
236.634140:0.818295 451.756104:0.298813 688.390259:0.060857 2968.682861:0.075120 3183.804932:0.254545 3420.438965:0.167934 3657.073242:0.086936 3786.146240:0.078480 3872.195068:0.111117 4001.268311:0.039642 4044.292725:0.051674 4108.829102:0.041792 4194.877930:0.050219 4302.438965:0.045209 4496.048828:0.052722 4582.097656:0.041382 
236.634140:0.832243 451.756104:0.288639 688.390259:0.061952 2990.195068:0.072552 3205.317139:0.283041 3441.951172:0.156967 3678.585449:0.093686 3786.146240:0.057853 3893.707275:0.104441 4001.268311:0.047254 4044.292725:0.040667 4087.317139:0.046671 4194.877930:0.051626 4366.975586:0.043507 4496.048828:0.052539 4582.097656:0.042395 
236.634140:0.844135 451.756104:0.279170 688.390259:0.061714 2990.195068:0.086909 3205.317139:0.243884 3441.951172:0.143024 3678.585449:0.092418 3786.146240:0.036811 3893.707275:0.070780 4001.268311:0.058275 4087.317139:0.043732 4194.877930:0.050479 4366.975586:0.054859 4410.000000:0.052186 4474.536621:0.043328 4603.609863:0.046877 
236.634140:0.855655 451.756104:0.269620 688.390259:0.059923 2990.195068:0.084221 3226.829346:0.249656 3463.463379:0.122802 3614.048828:0.024445 3700.097656:0.074822 3915.219482:0.043335 4001.268311:0.058546 4087.317139:0.032840 4194.877930:0.041489 4388.487793:0.065057 4496.048828:0.035182 4603.609863:0.043290 4668.146484:0.025625 
