150.585373:0.228649 21.512196:0.114420 279.658539:0.044278 322.682922:0.040326 537.804871:0.015013 451.756104:0.014746 623.853638:0.010959 2646.000000:0.010900 688.390259:0.010440 2710.536621:0.009969 925.024414:0.009279 1398.292725:0.007514 1505.853638:0.007381 1011.073181:0.006290 1591.902466:0.005731 1183.170776:0.005262 
150.585373:0.489483 43.024391:0.141494 258.146332:0.062715 322.682922:0.032471 451.756104:0.018777 2646.000000:0.016407 537.804871:0.015798 408.731720:0.014888 2710.536621:0.013238 623.853638:0.012413 688.390259:0.012153 925.024414:0.010038 1505.853638:0.009699 3958.243896:0.008175 1398.292725:0.008086 1011.073181:0.006680 
150.585373:0.759300 21.512196:0.135755 301.170746:0.025181 451.756104:0.021184 2646.000000:0.018692 408.731720:0.016296 537.804871:0.014254 2710.536621:0.013253 623.853638:0.012380 688.390259:0.012165 3979.756104:0.011980 1505.853638:0.010741 946.536560:0.010161 1398.292725:0.007473 1011.073181:0.006620 1570.390259:0.006213 
150.585373:0.921704 215.121948:0.149993 21.512196:0.131768 451.756104:0.021468 2646.000000:0.016507 408.731720:0.015575 559.317078:0.014411 3979.756104:0.013217 623.853638:0.013042 709.902466:0.012403 1505.853638:0.010744 2710.536621:0.010342 344.195129:0.010275 2581.463379:0.009600 946.536560:0.009155 1011.073181:0.006521 
150.585373:0.921778 236.634140:0.158208 301.170746:0.024817 473.268280:0.019062 537.804871:0.015902 387.219513:0.015678 623.853638:0.015209 709.902466:0.012065 3979.756104:0.011200 2646.000000:0.010974 1505.853638:0.010372 946.536560:0.007564 2581.463379:0.006986 774.439026:0.006678 1011.073181:0.006599 2710.536621:0.006107 
150.585373:0.800804 107.560974:0.259896 236.634140:0.144761 64.536583:0.100148 301.170746:0.021672 537.804871:0.019180 473.268280:0.018151 387.219513:0.016183 623.853638:0.016002 709.902466:0.010805 1505.853638:0.009731 2667.512207:0.007796 3979.756104:0.007160 1032.585327:0.006492 946.536560:0.005961 774.439026:0.005905 
150.585373:0.674346 107.560974:0.193051 236.634140:0.145251 537.804871:0.021995 301.170746:0.019269 473.268280:0.017065 365.707306:0.016343 623.853638:0.015928 709.902466:0.009194 1505.853638:0.008696 1032.585327:0.006573 2667.512207:0.005713 946.536560:0.005229 774.439026:0.004872 1914.585327:0.003435 3979.756104:0.003322 
150.585373:0.613813 86.048782:0.171336 236.634140:0.155988 537.804871:0.023063 322.682922:0.019470 387.219513:0.015062 473.268280:0.014666 623.853638:0.014556 709.902466:0.008330 1505.853638:0.007108 1032.585327:0.006001 946.536560:0.005023 2689.024414:0.004156 774.439026:0.003653 1914.585327:0.003135 1183.170776:0.002408 
150.585373:0.585517 236.634140:0.163159 86.048782:0.153659 21.512196:0.058979 537.804871:0.023291 322.682922:0.022150 623.853638:0.013862 387.219513:0.013203 451.756104:0.012771 709.902466:0.008594 1505.853638:0.005521 946.536560:0.005337 1011.073181:0.005264 774.439026:0.002672 1183.170776:0.002625 2689.024414:0.002546 
150.585373:0.570361 236.634140:0.171758 86.048782:0.113901 322.682922:0.026564 537.804871:0.021308 623.853638:0.013701 473.268280:0.011357 387.219513:0.009949 709.902466:0.008623 946.536560:0.005563 1011.073181:0.004768 1505.853638:0.004413 1183.170776:0.002679 1355.268311:0.002104 774.439026:0.001995 1247.707275:0.001874 
150.585373:0.563824 236.634140:0.162678 64.536583:0.091731 322.682922:0.028198 537.804871:0.020168 623.853638:0.014261 473.268280:0.012679 387.219513:0.008600 709.902466:0.008052 946.536560:0.005976 1011.073181:0.004422 1505.853638:0.003762 1183.170776:0.002599 795.951233:0.002430 1355.268311:0.002284 1247.707275:0.001744 
